Data File Name,Scale Name,Column Name,Transform ,Reverse,Min,Max,Informant_MateRetention_General,Informant_MateRetention_Breakup,Informant_SelfProtection_total,Informant_Disease_total,Informant_Affiliation_group,Informant_Status_total,Informant_MateSeeking_total,Informant_Family_total,Informant_BFI_Extraversion,Informant_BFI_Agreeableness,Informant_BFI_Conscientiousness,Informant_BFI_Neuroticism,Informant_BFI_Openness_To_Experience,Informant_BFI_Total,Informant_Dominance_score,Informant_Prestige_score
YADS-V_Informant_Reports_V2.32,YADS-V_Informant_Reports_V2.32,YADS-V_Informant_Reports_V2.0_80,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.33,YADS-V_Informant_Reports_V2.33,YADS-V_Informant_Reports_V2.0_81,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.34,YADS-V_Informant_Reports_V2.34,YADS-V_Informant_Reports_V2.0_82,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.35,YADS-V_Informant_Reports_V2.35,YADS-V_Informant_Reports_V2.0_83,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.36,YADS-V_Informant_Reports_V2.36,YADS-V_Informant_Reports_V2.0_84,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.37,YADS-V_Informant_Reports_V2.37,YADS-V_Informant_Reports_V2.0_85,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.38,YADS-V_Informant_Reports_V2.38,YADS-V_Informant_Reports_V2.0_86,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.39,YADS-V_Informant_Reports_V2.39,YADS-V_Informant_Reports_V2.0_87,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.40,YADS-V_Informant_Reports_V2.40,YADS-V_Informant_Reports_V2.0_88,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.41,YADS-V_Informant_Reports_V2.41,YADS-V_Informant_Reports_V2.0_89,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.42,YADS-V_Informant_Reports_V2.42,YADS-V_Informant_Reports_V2.0_90,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.43,YADS-V_Informant_Reports_V2.43,YADS-V_Informant_Reports_V2.0_91,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.44,YADS-V_Informant_Reports_V2.44,YADS-V_Informant_Reports_V2.0_92,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.45,YADS-V_Informant_Reports_V2.45,YADS-V_Informant_Reports_V2.0_93,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.46,YADS-V_Informant_Reports_V2.46,YADS-V_Informant_Reports_V2.0_94,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.47,YADS-V_Informant_Reports_V2.47,YADS-V_Informant_Reports_V2.0_95,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.48,YADS-V_Informant_Reports_V2.48,YADS-V_Informant_Reports_V2.0_96,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.49,YADS-V_Informant_Reports_V2.49,YADS-V_Informant_Reports_V2.0_97,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.50,YADS-V_Informant_Reports_V2.50,YADS-V_Informant_Reports_V2.0_98,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.51,YADS-V_Informant_Reports_V2.51,YADS-V_Informant_Reports_V2.0_99,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.52,YADS-V_Informant_Reports_V2.52,YADS-V_Informant_Reports_V2.0_100,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.53,YADS-V_Informant_Reports_V2.53,YADS-V_Informant_Reports_V2.0_101,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.54,YADS-V_Informant_Reports_V2.54,YADS-V_Informant_Reports_V2.0_102,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.55,YADS-V_Informant_Reports_V2.55,YADS-V_Informant_Reports_V2.0_103,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.56,YADS-V_Informant_Reports_V2.56,YADS-V_Informant_Reports_V2.0_104,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.57,YADS-V_Informant_Reports_V2.57,YADS-V_Informant_Reports_V2.0_105,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.58,YADS-V_Informant_Reports_V2.58,YADS-V_Informant_Reports_V2.0_106,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.59,YADS-V_Informant_Reports_V2.59,YADS-V_Informant_Reports_V2.0_107,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.60,YADS-V_Informant_Reports_V2.60,YADS-V_Informant_Reports_V2.0_108,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.61,YADS-V_Informant_Reports_V2.61,YADS-V_Informant_Reports_V2.0_109,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.62,YADS-V_Informant_Reports_V2.62,YADS-V_Informant_Reports_V2.0_110,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.63,YADS-V_Informant_Reports_V2.63,YADS-V_Informant_Reports_V2.0_111,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.64,YADS-V_Informant_Reports_V2.64,YADS-V_Informant_Reports_V2.0_112,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.65,YADS-V_Informant_Reports_V2.65,YADS-V_Informant_Reports_V2.0_113,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.66,YADS-V_Informant_Reports_V2.66,YADS-V_Informant_Reports_V2.0_114,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.67,YADS-V_Informant_Reports_V2.67,YADS-V_Informant_Reports_V2.0_115,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.68,YADS-V_Informant_Reports_V2.68,YADS-V_Informant_Reports_V2.0_116,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.69,YADS-V_Informant_Reports_V2.69,YADS-V_Informant_Reports_V2.0_117,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.70,YADS-V_Informant_Reports_V2.70,YADS-V_Informant_Reports_V2.0_118,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.71,YADS-V_Informant_Reports_V2.71,YADS-V_Informant_Reports_V2.0_119,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.72,YADS-V_Informant_Reports_V2.72,YADS-V_Informant_Reports_V2.0_120,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.73,YADS-V_Informant_Reports_V2.73,YADS-V_Informant_Reports_V2.0_121,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.74,YADS-V_Informant_Reports_V2.74,YADS-V_Informant_Reports_V2.0_122,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.75,YADS-V_Informant_Reports_V2.75,YADS-V_Informant_Reports_V2.0_123,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.76,YADS-V_Informant_Reports_V2.76,YADS-V_Informant_Reports_V2.0_124,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.77,YADS-V_Informant_Reports_V2.77,YADS-V_Informant_Reports_V2.0_125,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.78,YADS-V_Informant_Reports_V2.78,YADS-V_Informant_Reports_V2.0_126,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.79,YADS-V_Informant_Reports_V2.79,YADS-V_Informant_Reports_V2.0_127,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.80,YADS-V_Informant_Reports_V2.80,YADS-V_Informant_Reports_V2.0_128,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.81,YADS-V_Informant_Reports_V2.81,YADS-V_Informant_Reports_V2.0_129,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.82,YADS-V_Informant_Reports_V2.82,YADS-V_Informant_Reports_V2.0_130,0,1,1,5,,,,,,,,,1,0,0,0,0,1,,
YADS-V_Informant_Reports_V2.83,YADS-V_Informant_Reports_V2.83,YADS-V_Informant_Reports_V2.0_131,0,0,,,,,,,,,,,0,1,0,0,0,1,,
YADS-V_Informant_Reports_V2.84,YADS-V_Informant_Reports_V2.84,YADS-V_Informant_Reports_V2.0_132,0,1,1,5,,,,,,,,,0,0,1,0,0,1,,
YADS-V_Informant_Reports_V2.85,YADS-V_Informant_Reports_V2.85,YADS-V_Informant_Reports_V2.0_133,0,1,1,5,,,,,,,,,0,0,0,1,0,1,,
YADS-V_Informant_Reports_V2.86,YADS-V_Informant_Reports_V2.86,YADS-V_Informant_Reports_V2.0_134,0,1,1,5,,,,,,,,,0,0,0,0,1,1,,
YADS-V_Informant_Reports_V2.87,YADS-V_Informant_Reports_V2.87,YADS-V_Informant_Reports_V2.0_135,0,0,,,,,,,,,,,1,0,0,0,0,1,,
YADS-V_Informant_Reports_V2.88,YADS-V_Informant_Reports_V2.88,YADS-V_Informant_Reports_V2.0_136,0,1,1,5,,,,,,,,,0,1,0,0,0,1,,
YADS-V_Informant_Reports_V2.89,YADS-V_Informant_Reports_V2.89,YADS-V_Informant_Reports_V2.0_137,0,0,,,,,,,,,,,0,0,1,0,0,1,,
YADS-V_Informant_Reports_V2.90,YADS-V_Informant_Reports_V2.90,YADS-V_Informant_Reports_V2.0_138,0,0,,,,,,,,,,,0,0,0,1,0,1,,
YADS-V_Informant_Reports_V2.91,YADS-V_Informant_Reports_V2.91,YADS-V_Informant_Reports_V2.0_139,0,0,,,,,,,,,,,0,0,0,0,1,1,,
YADS-V_Informant_Reports_V2.92,YADS-V_Informant_Reports_V2.92,YADS-V_Informant_Reports_V2.0_140,0,,,,,,,,,,,,,,,,,,,1
YADS-V_Informant_Reports_V2.93,YADS-V_Informant_Reports_V2.93,YADS-V_Informant_Reports_V2.0_141,0,1,1,7,,,,,,,,,,,,,,,,1
YADS-V_Informant_Reports_V2.94,YADS-V_Informant_Reports_V2.94,YADS-V_Informant_Reports_V2.0_142,0,,,,,,,,,,,,,,,,,,1,
YADS-V_Informant_Reports_V2.95,YADS-V_Informant_Reports_V2.95,YADS-V_Informant_Reports_V2.0_143,0,,,,,,,,,,,,,,,,,,,1
YADS-V_Informant_Reports_V2.96,YADS-V_Informant_Reports_V2.96,YADS-V_Informant_Reports_V2.0_144,0,,,,,,,,,,,,,,,,,,1,
YADS-V_Informant_Reports_V2.97,YADS-V_Informant_Reports_V2.97,YADS-V_Informant_Reports_V2.0_145,0,1,1,7,,,,,,,,,,,,,,,,1
YADS-V_Informant_Reports_V2.98,YADS-V_Informant_Reports_V2.98,YADS-V_Informant_Reports_V2.0_146,0,,,,,,,,,,,,,,,,,,1,
YADS-V_Informant_Reports_V2.99,YADS-V_Informant_Reports_V2.99,YADS-V_Informant_Reports_V2.0_147,0,,,,,,,,,,,,,,,,,,,1
YADS-V_Informant_Reports_V2.100,YADS-V_Informant_Reports_V2.100,YADS-V_Informant_Reports_V2.0_148,0,,,,,,,,,,,,,,,,,,1,
YADS-V_Informant_Reports_V2.101,YADS-V_Informant_Reports_V2.101,YADS-V_Informant_Reports_V2.0_149,0,1,1,7,,,,,,,,,,,,,,,1,
YADS-V_Informant_Reports_V2.102,YADS-V_Informant_Reports_V2.102,YADS-V_Informant_Reports_V2.0_150,0,,,,,,,,,,,,,,,,,,1,
YADS-V_Informant_Reports_V2.103,YADS-V_Informant_Reports_V2.103,YADS-V_Informant_Reports_V2.0_151,0,1,1,7,,,,,,,,,,,,,,,1,
YADS-V_Informant_Reports_V2.104,YADS-V_Informant_Reports_V2.104,YADS-V_Informant_Reports_V2.0_152,0,,,,,,,,,,,,,,,,,,,1
YADS-V_Informant_Reports_V2.105,YADS-V_Informant_Reports_V2.105,YADS-V_Informant_Reports_V2.0_153,0,,,,,,,,,,,,,,,,,,,1
YADS-V_Informant_Reports_V2.106,YADS-V_Informant_Reports_V2.106,YADS-V_Informant_Reports_V2.0_154,0,,,,,,,,,,,,,,,,,,,1
YADS-V_Informant_Reports_V2.107,YADS-V_Informant_Reports_V2.107,YADS-V_Informant_Reports_V2.0_155,0,,,,,,,,,,,,,,,,,,1,
YADS-V_Informant_Reports_V2.108,YADS-V_Informant_Reports_V2.108,YADS-V_Informant_Reports_V2.0_156,0,1,1,7,,,,,,,,,,,,,,,,1
